,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,11235875612.759563,11235875610.814539,11235875609.662794,11235875608.756748,11235875607.950287,11235875607.206608,11235875606.52458,11235875605.93652,11235875605.572706,11235875605.403563,11235875610.749523,11235875610.066202,11235875609.462057,11235875608.702105,11235875607.932446,11235875607.189894,11235875606.475584,11235875605.757193,11235875605.423002,11235875605.279352,11235875609.467775,11235875609.283625,0.0,0.0,0.0,0.0,0.0,11235875605.238634,11235875605.127668,11235875605.056456,11235875608.415113,11235875608.361864,0.0,11235875604.03534,11235875604.02289,11235875604.011686,0.0,11235875604.875994,11235875604.83753,11235875604.807276,11235875607.46065,11235875607.431772,0.0,11235875604.092722,11235875604.0666,11235875604.045422,0.0,11235875604.59674,11235875604.584139,11235875604.572798,11235875606.57999,11235875606.51776,0.0,11235875604.221182,11235875604.150303,11235875604.102922,0.0,11235875604.375038,11235875604.374443,11235875604.371904,11235875605.806522,11235875605.58647,11235875604.935411,11235875604.465448,11235875604.255457,11235875604.157986,11235875604.144083,11235875604.198885,11235875604.211628,11235875604.213442,11235875605.298037,11235875605.131124,11235875604.799253,11235875604.4947,11235875604.293028,11235875604.174425,11235875604.120316,11235875604.109741,11235875604.10468,11235875604.101734,11235875605.00141,11235875604.885687,11235875604.680746,11235875604.46597,11235875604.292492,11235875604.17132,11235875604.097942,11235875604.060032,11235875604.040552,11235875604.032034,11235875604.865438,11235875604.774405,11235875604.617033,11235875604.440886,11235875604.284594,11235875604.165342,11235875604.085068,11235875604.036856,11235875604.010397,11235875603.99874
1,11235875610.814539,11235875611.69663,11235875610.199104,11235875609.16892,11235875608.297775,11235875607.5056,11235875606.780355,11235875606.154018,11235875605.76641,11235875605.586203,11235875609.977386,11235875610.121185,11235875609.776728,11235875609.05482,11235875608.26375,11235875607.483604,11235875606.726418,11235875605.960207,11235875605.603983,11235875605.450928,11235875609.0414,11235875609.07894,0.0,0.0,0.0,0.0,0.0,11235875605.401382,11235875605.283287,11235875605.207565,11235875608.112816,11235875608.119194,0.0,11235875603.98339,11235875603.972385,11235875603.962624,0.0,11235875605.005608,11235875604.965166,11235875604.93341,11235875607.222797,11235875607.21075,0.0,11235875604.039328,11235875604.0161,11235875603.997799,0.0,11235875604.695192,11235875604.683321,11235875604.672455,11235875606.389757,11235875606.335213,0.0,11235875604.16345,11235875604.09982,11235875604.059622,0.0,11235875604.4416,11235875604.445423,11235875604.445559,11235875605.656221,11235875605.450085,11235875604.83614,11235875604.396133,11235875604.205053,11235875604.126188,11235875604.14084,11235875604.229141,11235875604.256153,11235875604.263763,11235875605.173754,11235875605.0177,11235875604.707142,11235875604.424843,11235875604.243011,11235875604.144182,11235875604.11213,11235875604.12292,11235875604.131222,11235875604.134521,11235875604.892284,11235875604.784771,11235875604.59485,11235875604.397987,11235875604.242931,11235875604.140347,11235875604.085503,11235875604.064133,11235875604.056229,11235875604.053534,11235875604.763266,11235875604.679184,11235875604.534456,11235875604.374275,11235875604.235321,11235875604.133694,11235875604.070368,11235875604.036844,11235875604.020964,11235875604.014772
2,11235875609.662798,11235875610.19911,11235875611.474112,11235875610.052036,11235875609.013033,11235875608.113533,11235875607.299072,11235875606.59542,11235875606.16,11235875605.957592,11235875609.171425,11235875609.50536,11235875610.21615,11235875609.713907,11235875608.918472,11235875608.07343,11235875607.233232,11235875606.372112,11235875605.971956,11235875605.80012,11235875608.391085,11235875608.479692,0.0,0.0,0.0,0.0,0.0,11235875605.732807,11235875605.600498,11235875605.515774,11235875607.567078,11235875607.587597,0.0,11235875603.885328,11235875603.877214,11235875603.870338,0.0,11235875605.270771,11235875605.226393,11235875605.19164,11235875606.767492,11235875606.760944,0.0,11235875603.938374,11235875603.920937,11235875603.908398,0.0,11235875604.898031,11235875604.887623,11235875604.87771,11235875606.019392,11235875605.972689,0.0,11235875604.053812,11235875604.00469,11235875603.978867,0.0,11235875604.58065,11235875604.59331,11235875604.598797,11235875605.362947,11235875605.182695,11235875604.643278,11235875604.263306,11235875604.110092,11235875604.068459,11235875604.140242,11235875604.295557,11235875604.351118,11235875604.370323,11235875604.931688,11235875604.796799,11235875604.528776,11235875604.29099,11235875604.14885,11235875604.089575,11235875604.101646,11235875604.155178,11235875604.190216,11235875604.206009,11235875604.680264,11235875604.588982,11235875604.429005,11235875604.267937,11235875604.149704,11235875604.084293,11235875604.06652,11235875604.078236,11235875604.093489,11235875604.10244,11235875604.56506,11235875604.494797,11235875604.375282,11235875604.246988,11235875604.142683,11235875604.076298,11235875604.04687,11235875604.042725,11235875604.048002,11235875604.052746
3,11235875608.756748,11235875609.16892,11235875610.05203,11235875611.381756,11235875609.937054,11235875608.858173,11235875607.92711,11235875607.131645,11235875606.640793,11235875606.41286,11235875608.389511,11235875608.74292,11235875609.650381,11235875610.201126,11235875609.61617,11235875608.755293,11235875607.836481,11235875606.871956,11235875606.42284,11235875606.229864,11235875607.713839,11235875607.807802,0.0,0.0,0.0,0.0,0.0,11235875606.141823,11235875605.99366,11235875605.898853,11235875606.98914,11235875607.011616,0.0,11235875603.807722,11235875603.802887,11235875603.79928,0.0,11235875605.604813,11235875605.556059,11235875605.517973,11235875606.286913,11235875606.282822,0.0,11235875603.857487,11235875603.846617,11235875603.84061,0.0,11235875605.161476,11235875605.15276,11235875605.143951,11235875605.633707,11235875605.594889,0.0,11235875603.963083,11235875603.930408,11235875603.920881,0.0,11235875604.771809,11235875604.794498,11235875604.806059,11235875605.064276,11235875604.913101,11235875604.458202,11235875604.14629,11235875604.036003,11235875604.036573,11235875604.173117,11235875604.404396,11235875604.49232,11235875604.524673,11235875604.690947,11235875604.579973,11235875604.360155,11235875604.172823,11235875604.075672,11235875604.061232,11235875604.12332,11235875604.225298,11235875604.290642,11235875604.320597,11235875604.473545,11235875604.400633,11235875604.274586,11235875604.15408,11235875604.077589,11235875604.054314,11235875604.07856,11235875604.127779,11235875604.16928,11235875604.191433,11235875604.373987,11235875604.319372,11235875604.228428,11235875604.13627,11235875604.071238,11235875604.044796,11235875604.053787,11235875604.082947,11235875604.112206,11235875604.129345
4,11235875607.950287,11235875608.297777,11235875609.013027,11235875609.937052,11235875611.238468,11235875609.750814,11235875608.639605,11235875607.733364,11235875607.180637,11235875606.92501,11235875607.647732,11235875607.974953,11235875608.849216,11235875609.604605,11235875610.072477,11235875609.419312,11235875608.479591,11235875607.424784,11235875606.928497,11235875606.714323,11235875607.062931,11235875607.15002,0.0,0.0,0.0,0.0,0.0,11235875606.602642,11235875606.43916,11235875606.33442,11235875606.435976,11235875606.457144,0.0,11235875603.768177,11235875603.766716,11235875603.766478,0.0,11235875605.988941,11235875605.93602,11235875605.894714,11235875605.8328,11235875605.830357,0.0,11235875603.814566,11235875603.810455,11235875603.811178,0.0,11235875605.473082,11235875605.466227,11235875605.45865,11235875605.277004,11235875605.246067,0.0,11235875603.910025,11235875603.894287,11235875603.901546,0.0,11235875605.009035,11235875605.042099,11235875605.059948,11235875604.797102,11235875604.675814,11235875604.307966,11235875604.066156,11235875604.000078,11235875604.044115,11235875604.247355,11235875604.556868,11235875604.678137,11235875604.724045,11235875604.483412,11235875604.397047,11235875604.22687,11235875604.091505,11235875604.040688,11235875604.072428,11235875604.186024,11235875604.337898,11235875604.434462,11235875604.479012,11235875604.301037,11235875604.247042,11235875604.155931,11235875604.077202,11235875604.043701,11235875604.063822,11235875604.131346,11235875604.21919,11235875604.287727,11235875604.323479,11235875604.217592,11235875604.179089,11235875604.11757,11235875604.062626,11235875604.038042,11235875604.052736,11235875604.1013,11235875604.16476,11235875604.218721,11235875604.248627
5,11235875607.20661,11235875607.5056,11235875608.113527,11235875608.85817,11235875609.750813,11235875611.008875,11235875609.490707,11235875608.412367,11235875607.779593,11235875607.490927,11235875606.95255,11235875607.241602,11235875608.021769,11235875608.755112,11235875609.430338,11235875609.830036,11235875609.095848,11235875608.011724,11235875607.480444,11235875607.247202,11235875606.45442,11235875606.531425,0.0,0.0,0.0,0.0,0.0,11235875607.103199,11235875606.92818,11235875606.81519,11235875605.92422,11235875605.943216,0.0,11235875603.770533,11235875603.772453,11235875603.775589,0.0,11235875606.414648,11235875606.358824,11235875606.315128,11235875605.41996,11235875605.418934,0.0,11235875603.81354,11235875603.8162,11235875603.823664,0.0,11235875605.826845,11235875605.822298,11235875605.816315,11235875604.961664,11235875604.938564,0.0,11235875603.898844,11235875603.900074,11235875603.924147,0.0,11235875605.288542,11235875605.332165,11235875605.356457,11235875604.571428,11235875604.480064,11235875604.199434,11235875604.027851,11235875604.006065,11235875604.093643,11235875604.363695,11235875604.751566,11235875604.906298,11235875604.965843,11235875604.31748,11235875604.255768,11235875604.13532,11235875604.052011,11235875604.047613,11235875604.125618,11235875604.290817,11235875604.492685,11235875604.620544,11235875604.679737,11235875604.170195,11235875604.135149,11235875604.07904,11235875604.042164,11235875604.051727,11235875604.115326,11235875604.226206,11235875604.352757,11235875604.44839,11235875604.497774,11235875604.102894,11235875604.080528,11235875604.048487,11235875604.030827,11235875604.046762,11235875604.102673,11235875604.190882,11235875604.288708,11235875604.367424,11235875604.410128
6,11235875606.524588,11235875606.780361,11235875607.299072,11235875607.927114,11235875608.639605,11235875609.490713,11235875610.72193,11235875609.245104,11235875608.466059,11235875608.125141,11235875606.313745,11235875606.562363,11235875607.234701,11235875607.887604,11235875608.54593,11235875609.155544,11235875609.474928,11235875608.592245,11235875608.072899,11235875607.82916,11235875605.899263,11235875605.965576,0.0,0.0,0.0,0.0,0.0,11235875607.621008,11235875607.449045,11235875607.334396,11235875605.46341,11235875605.480066,0.0,11235875603.812544,11235875603.817776,11235875603.824211,0.0,11235875606.8667,11235875606.812824,11235875606.769926,11235875605.055843,11235875605.05614,0.0,11235875603.852243,11235875603.861526,11235875603.875586,0.0,11235875606.211185,11235875606.210583,11235875606.207495,11235875604.692904,11235875604.677454,0.0,11235875603.927616,11235875603.945442,11235875603.985964,0.0,11235875605.601223,11235875605.655779,11235875605.686918,11235875604.390379,11235875604.328287,11235875604.132975,11235875604.030088,11235875604.05163,11235875604.181799,11235875604.517183,11235875604.981655,11235875605.169333,11235875605.242432,11235875604.194874,11235875604.157276,11235875604.085478,11235875604.053091,11235875604.094105,11235875604.217363,11235875604.433046,11235875604.683834,11235875604.842398,11235875604.916002,11235875604.081915,11235875604.065405,11235875604.043537,11235875604.047606,11235875604.099302,11235875604.205435,11235875604.35874,11235875604.523174,11235875604.64536,11235875604.70812,11235875604.030403,11235875604.023829,11235875604.020624,11235875604.039436,11235875604.095018,11235875604.191256,11235875604.318262,11235875604.44973,11235875604.552692,11235875604.607935
7,11235875605.936518,11235875606.154015,11235875606.595413,11235875607.131641,11235875607.73336,11235875608.412365,11235875609.245096,11235875610.52561,11235875609.353573,11235875608.888878,11235875605.76395,11235875605.975056,11235875606.545542,11235875607.111088,11235875607.70102,11235875608.303574,11235875608.842272,11235875609.023087,11235875608.691189,11235875608.469126,11235875605.425257,11235875605.481647,0.0,0.0,0.0,0.0,0.0,11235875608.078224,11235875607.9639,11235875607.872257,11235875605.075115,11235875605.08959,0.0,11235875603.881393,11235875603.889635,11235875603.899069,0.0,11235875607.292654,11235875607.258873,11235875607.228687,11235875604.755444,11235875604.756935,0.0,11235875603.918089,11235875603.933393,11235875603.953444,0.0,11235875606.58578,11235875606.595205,11235875606.599874,11235875604.479208,11235875604.470709,0.0,11235875603.984436,11235875604.017345,11235875604.072813,0.0,11235875605.914421,11235875605.98125,11235875606.02068,11235875604.256437,11235875604.220957,11235875604.103216,11235875604.06279,11235875604.123713,11235875604.292582,11235875604.68729,11235875605.22119,11235875605.439638,11235875605.525856,11235875604.114073,11235875604.098402,11235875604.070835,11235875604.084753,11235875604.167055,11235875604.331457,11235875604.593044,11235875604.888365,11235875605.075186,11235875605.162214,11235875604.032328,11235875604.032673,11235875604.04194,11235875604.08324,11235875604.17326,11235875604.318083,11235875604.51,11235875604.708971,11235875604.855473,11235875604.930538,11235875603.995176,11235875604.002962,11235875604.025976,11235875604.077963,11235875604.169605,11235875604.302538,11235875604.46487,11235875604.627012,11235875604.752132,11235875604.818861
8,11235875605.572712,11235875605.766415,11235875606.160004,11235875606.640797,11235875607.180637,11235875607.779598,11235875608.466057,11235875609.353577,11235875610.867868,11235875610.012537,11235875605.423935,11235875605.611477,11235875606.117746,11235875606.626692,11235875607.166466,11235875607.737028,11235875608.309961,11235875608.771736,11235875609.282444,11235875609.202145,11235875605.132593,11235875605.182753,0.0,0.0,0.0,0.0,0.0,11235875608.185904,11235875608.33296,11235875608.356407,11235875604.836044,11235875604.849142,0.0,11235875603.928053,11235875603.93817,11235875603.949472,0.0,11235875607.497982,11235875607.552036,11235875607.579056,11235875604.57133,11235875604.573563,0.0,11235875603.962877,11235875603.981937,11235875604.005718,0.0,11235875606.800919,11235875606.843098,11235875606.873667,11235875604.349312,11235875604.345156,0.0,11235875604.023598,11235875604.065918,11235875604.130688,0.0,11235875606.106638,11235875606.190712,11235875606.243795,11235875604.176409,11235875604.157568,11235875604.088316,11235875604.086908,11235875604.172413,11235875604.365366,11235875604.796814,11235875605.373228,11235875605.614254,11235875605.71196,11235875604.06728,11235875604.065317,11235875604.065407,11235875604.108269,11235875604.216383,11235875604.406502,11235875604.696789,11235875605.020168,11235875605.226048,11235875605.322786,11235875604.00506,11235875604.01595,11235875604.044697,11235875604.109291,11235875604.223305,11235875604.392397,11235875604.60862,11235875604.82953,11235875604.991936,11235875605.075287,11235875603.976894,11235875603.993666,11235875604.033092,11235875604.10585,11235875604.2201,11235875604.376083,11235875604.56071,11235875604.742374,11235875604.881813,11235875604.956076
9,11235875605.40356,11235875605.5862,11235875605.957586,11235875606.412857,11235875606.925007,11235875607.490929,11235875608.12513,11235875608.88888,11235875610.012533,11235875611.960424,11235875605.265846,11235875605.442398,11235875605.918655,11235875606.400923,11235875606.916182,11235875607.467575,11235875608.040556,11235875608.5739,11235875609.233253,11235875609.953257,11235875604.996565,11235875605.04382,0.0,0.0,0.0,0.0,0.0,11235875608.17785,11235875608.438251,11235875608.711039,11235875604.724987,11235875604.737444,0.0,11235875603.95008,11235875603.961067,11235875603.97324,0.0,11235875607.566376,11235875607.675812,11235875607.786554,11235875604.485884,11235875604.488462,0.0,11235875603.984034,11235875604.004837,11235875604.030355,0.0,11235875606.890383,11235875606.957014,11235875607.017752,11235875604.289127,11235875604.286999,0.0,11235875604.042141,11235875604.088835,11235875604.157925,0.0,11235875606.192703,11235875606.289064,11235875606.354631,11235875604.139465,11235875604.128376,11235875604.081709,11235875604.098465,11235875604.1954,11235875604.399517,11235875604.847887,11235875605.443623,11235875605.696833,11235875605.802038,11235875604.045832,11235875604.050255,11235875604.063225,11235875604.11957,11235875604.23971,11235875604.441807,11235875604.745466,11235875605.082027,11235875605.297535,11235875605.399605,11235875603.992712,11235875604.008516,11235875604.04634,11235875604.1218,11235875604.247015,11235875604.427456,11235875604.65509,11235875604.88642,11235875605.056618,11235875605.144182,11235875603.968737,11235875603.989698,11235875604.036777,11235875604.119236,11235875604.24405,11235875604.41084,11235875604.605963,11235875604.796906,11235875604.943277,11235875605.021255
