,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0,1.1177007921151392,0.05930712903625099,0.0031556885600741197,0.0001683725058518937,9.007737938790586e-06,4.83169854119346e-07,2.5982912181744793e-08,1.3992938517081203e-09,7.54743178554548e-11,4.29527344111324e-12,0.05930712903625093,0.005978971013555461,0.0004825810993054027,3.4381313173068656e-05,2.2913451310081314e-06,1.4650637729524066e-07,9.106183482096818e-09,5.281966828540457e-10,3.042291410440718e-11,1.840604084583552e-12,0.003155688560073212,0.0004825810993018981,0.0,0.0,0.0,0.0,0.0,2.8033409171566254e-11,2.946677294059412e-12,2.532900615670809e-13,0.00016837250583816258,3.438131310738808e-05,0.0,3.6934515253017565e-15,6.984221638160587e-16,9.510439016683762e-17,0.0,1.4914141116537397e-12,2.2393254364772797e-13,2.5229791131573164e-14,9.007737744489432e-06,2.2913439003129617e-06,0.0,6.578370529161554e-14,9.481465197036522e-15,1.0134568591870188e-15,0.0,7.95264062070589e-14,1.5329676109833537e-14,2.143426285081327e-15,4.831674068237275e-07,1.464832540687618e-07,0.0,1.2367154838183566e-12,1.2213371962611173e-13,9.67911073734999e-15,0.0,4.257930170545899e-15,9.91146056802401e-16,1.656321751385213e-16,2.5959731092624256e-08,8.670520169784167e-09,4.601357683667719e-10,2.330967676763105e-11,1.1867983327694914e-12,6.07559275243511e-14,3.2675184616810375e-15,3.8312097651078314e-16,6.968268053006873e-17,1.2438985748176598e-17,1.3969637663489488e-09,5.072824659304884e-10,4.874975241686941e-11,3.6342531692614216e-12,2.4340024060831547e-13,1.5373588518498797e-14,9.438022710778716e-16,6.728821745865525e-17,6.947591540013583e-18,1.0258735467651733e-18,7.529800207529707e-11,2.9415630059785905e-11,3.942560870866595e-12,3.822339601196674e-13,3.157972161689664e-14,2.371799966231444e-15,1.676502239189502e-16,1.1893510044436608e-17,9.550592647825303e-19,1.0502010034812599e-19,4.282643021909055e-12,1.789572319065887e-12,3.0360098055689045e-13,3.6285440648435595e-14,3.588431643718253e-15,3.1503896531447085e-16,2.550873102525078e-17,1.9767002463441935e-18,1.5506361085228497e-19,1.4449095066689494e-20
1,0.05930712903625098,1.0615501642528755,0.05633525264638308,0.002997955868091715,0.0001599775698277338,8.559713934880485e-06,4.5919298789721807e-07,2.4674475528418545e-08,1.3281490116292796e-09,7.543633299700254e-11,0.005978158399642106,0.05381073912200029,0.005821680160311324,0.0004659312775317572,3.3058244700346805e-05,2.1978019470981846e-06,1.4027835963823727e-07,8.293898131105106e-09,4.849193595407562e-10,2.970498231676689e-11,0.000467141434948726,0.0028647796271769506,0.0,0.0,0.0,0.0,0.0,4.402080959055498e-10,4.6635065763965785e-11,4.038971480812378e-12,3.274923720673552e-05,0.00015293235941302375,0.0,9.578857488488963e-15,1.8111996453396835e-15,2.4661245464532876e-16,0.0,2.342062533637354e-11,3.5348883521974703e-12,4.0041005470251904e-13,2.161712566225315e-06,8.185964463764795e-06,0.0,1.7060823514746147e-13,2.458732331831968e-14,2.627824538276234e-15,0.0,1.2488971333497857e-12,2.416658889075498e-13,3.3931206338014343e-14,1.3733708778065773e-07,4.3925283228209683e-07,0.0,3.207390286994958e-12,3.1669920703531616e-13,2.509473045428343e-14,0.0,6.67543083648356e-14,1.56010862657239e-14,2.6169768122038403e-15,8.43926932508474e-09,2.250226181438624e-08,1.1937512363431835e-09,6.045310801072143e-11,3.07691179993876e-12,1.574728470577928e-13,8.616617790649443e-15,3.833639316366915e-15,9.845512298888455e-16,1.902668281347093e-16,5.067675815660476e-10,1.1593834441998476e-09,1.185585681235348e-10,9.026621784311752e-12,6.109559339606549e-13,3.8833792972160444e-14,2.409251648179824e-15,3.1730894196441917e-16,6.60321875513823e-17,1.3541692466788607e-17,2.993128047031808e-11,6.008091992113484e-11,9.010060143353446e-12,9.098036180181817e-13,7.675130199042529e-14,5.8378267765813484e-15,4.1731325882218316e-16,3.725568719026191e-17,5.241886707593139e-18,9.931411828920768e-19,1.845827448860878e-12,3.2936136091777226e-12,6.519112043810099e-13,8.263913070801471e-14,8.428661053087325e-15,7.541273102189947e-16,6.193106449222206e-17,5.2496563110426555e-18,5.567182273264998e-19,8.610330056769869e-20
2,0.00315568856007412,0.05633525264638309,1.0615347465573948,0.056341922281997796,0.002998704941490038,0.00016003822804110262,8.564004689545982e-06,4.5912194724859927e-07,2.4660451662910837e-08,1.3977839942106875e-09,0.0004671414349510737,0.005679365163809634,0.05648300966211988,0.005963071859073131,0.0004734333782718177,3.34573866013654e-05,2.2187391130224145e-06,1.3465185651449526e-07,8.028850352495839e-09,4.996602328815508e-10,4.063354018664609e-05,0.00030189953273865186,0.0,0.0,0.0,0.0,0.0,7.147219666395479e-09,7.650386396290264e-10,6.691007804294144e-11,2.996295856549927e-06,1.6092418038103467e-05,0.0,1.0036409818544807e-15,1.897756600803537e-16,2.5862547086324688e-17,0.0,3.8027850738980276e-10,5.77926956462715e-11,6.592610305310452e-12,2.0366304969906527e-07,8.601141287639849e-07,0.0,1.787576201330029e-14,2.576234012585914e-15,2.757501874734906e-16,0.0,2.0279278364498814e-11,3.9441556012900224e-12,5.568221116856762e-13,1.3187958968327286e-08,4.608735871318693e-08,0.0,3.3605960325826504e-13,3.3183392390864144e-14,2.6371570023240814e-15,0.0,1.083625934384631e-12,2.5431590334443665e-13,4.285421542737501e-14,8.208119859662203e-10,2.357727818239428e-09,1.2507766205635385e-10,6.334073307502871e-12,3.2239485354410787e-13,1.664684046581992e-14,3.8150612539087465e-15,5.5298485464739754e-14,1.5682315786705547e-14,3.092078090012077e-15,4.9740946791464683e-11,1.2130800357904215e-10,1.2413687523792462e-11,9.45349636901247e-13,6.399353052260093e-14,4.089737516057508e-15,5.408378937064791e-16,2.84639786955e-15,9.398488349224275e-16,2.1295249614887701e-16,2.95799949256665e-12,6.277619026158526e-12,9.42735203552001e-13,9.52383762070151e-14,8.036382490606248e-15,6.135414390228406e-16,6.556123461333004e-17,1.487851976313523e-16,5.5310546044133255e-17,1.4170501894161037e-17,1.8342454114312868e-13,3.436422480096663e-13,6.815914488200605e-14,8.646301196447748e-15,8.82201643485986e-16,7.914753917972397e-17,8.060161905928053e-18,8.434302419579185e-18,3.4063864347242964e-18,9.76493796049185e-19
3,0.00016837250585189368,0.002997955868091715,0.05634192228199779,1.061535893174287,0.056342025021341106,0.002998712566886535,0.000160038157120641,8.558394333708792e-06,4.586273561145922e-07,2.5937210458831037e-08,3.2749237242371006e-05,0.00045086670589289125,0.005962674315579216,0.0564980230081144,0.0059638696643072595,0.0004734755923824067,3.3454024071934694e-05,2.1127078637115025e-06,1.2958822200962708e-07,8.242432144366667e-09,2.996295860264239e-06,2.395469694452408e-05,0.0,0.0,0.0,0.0,0.0,1.1215064657693801e-07,1.2186788222079001e-08,1.0807782745085854e-09,2.256871581254416e-07,1.2762401928018605e-06,0.0,7.949093708132135e-17,1.5098378483705047e-17,2.4154461479130288e-18,0.0,5.967633028240436e-09,9.161175805064016e-10,1.0556684921745671e-10,1.5519951317291253e-08,6.817956058582134e-08,0.0,1.4157384889800783e-15,2.0496280796116147e-16,2.8379652178729456e-17,0.0,3.1826337912380543e-10,6.236351059113068e-11,8.87428011669084e-12,1.0123563172708765e-09,3.651507011454016e-09,0.0,2.6614577545579e-14,2.6400396395807167e-15,3.3183513728678517e-16,0.0,1.7007664520736614e-11,4.014972075715379e-12,6.809624085385975e-13,6.331169940138098e-11,1.8671631453409944e-10,9.905304665654288e-12,5.016211952374402e-13,2.5649417300787372e-14,3.636448316689474e-15,4.6078332579385103e-14,8.6727469447485e-13,2.473039939017096e-13,4.903356982713116e-14,3.849656821262384e-12,9.602275160935836e-12,9.828529180946785e-13,7.48552442481496e-14,5.090662822037106e-15,6.693813163302026e-16,4.577176216776988e-15,4.4447042279296114e-14,1.4799538016830333e-14,3.3714242751846225e-15,2.295050416684889e-13,4.966789452602996e-13,7.462329105529465e-14,7.540108808836588e-15,6.392135754749297e-16,8.333897110048897e-17,3.4876816052835905e-16,2.2894368774651463e-15,8.682998804164549e-16,2.23953384546354e-16,1.4260025178603125e-14,2.7175411546367386e-14,5.3938489420776104e-15,6.844272978125585e-16,7.01609075244093e-17,9.416369676287148e-18,2.5411145224557453e-17,1.2462722906194565e-16,5.3069329487265584e-17,1.539015077964553e-17
4,9.00773793879059e-06,0.00015997756982773383,0.0029987049414900383,0.0563420250213411,1.0615359019070834,0.05634202495048051,0.0029987036235966246,0.00015995307055316935,8.551150218504838e-06,4.824784769117555e-07,2.1617130704967532e-06,3.186114729811379e-05,0.00047339129714187787,0.005963868556907527,0.05649808626276003,0.005963868528449616,0.0004733908273021754,3.1853566695088955e-05,2.0363051215107805e-06,1.3346236590676455e-07,2.0366310253393554e-07,1.692365922167321e-06,0.0,0.0,0.0,0.0,0.0,1.6911309249237205e-06,1.8792315071503117e-07,1.7001353805990748e-08,1.551995548069962e-08,9.014212053136915e-08,0.0,5.753215046924534e-18,2.1137923846513137e-18,5.713794726814385e-18,0.0,8.999772774669849e-08,1.4025614060132835e-08,1.6402056920285354e-09,1.0739310679881564e-09,4.814412447992741e-09,0.0,1.0144407845999025e-16,2.8695045534636034e-17,1.007345126980076e-16,0.0,4.800288203417121e-09,9.511970488983547e-10,1.369402824185966e-10,7.03223630826128e-11,2.5778491250479887e-10,0.0,1.8929892301582535e-15,3.6960852715007143e-16,1.8795469010006934e-15,0.0,2.565510693284481e-10,6.109843199853904e-11,1.046262502644556e-11,4.4089180766872375e-12,1.3178526515824887e-11,6.991255689880576e-13,3.5495742767396754e-14,3.590939366307843e-15,3.52410480791651e-14,6.940884216846658e-13,1.3083681824853943e-11,3.757896717532802e-12,7.511610853299833e-13,2.6855385861979506e-13,6.77574166023476e-13,6.936355218081391e-14,5.305357763411562e-15,7.123879524449381e-16,5.262053631327782e-15,6.875713907553556e-14,6.705820294133416e-13,2.2465944193304637e-13,5.153887729131337e-14,1.6031071065393513e-14,3.503939384402836e-14,5.265950841333042e-15,5.354723675756491e-16,8.940828785157194e-17,5.304975194100856e-16,5.21027678137618e-15,3.454218240431155e-14,1.3171214423472804e-14,3.4181412719247075e-15,9.9709777865322e-16,1.916688950364444e-15,3.8059843424285737e-16,4.8730458916803815e-17,9.807917600765675e-18,4.821168764617196e-17,3.7571662826641553e-16,1.8801274680395466e-15,8.045228601734517e-16,2.3459245178323106e-16
5,4.831698541193461e-07,8.559713934880489e-06,0.00016003822804110264,0.002998712566886535,0.05634202495048052,1.0615358918569608,0.056341897804214544,0.0029974998917377707,0.00015985637440388043,8.997952291996881e-06,1.373434392677416e-07,2.113166867507268e-06,3.3454051959534266e-05,0.00047347559232254117,0.005963869635282214,0.05649802252755898,0.005962666531377515,0.00045074376439923605,3.077326964395995e-05,2.106766852063501e-06,1.3188624460475561e-08,1.1222801646285729e-07,0.0,0.0,0.0,0.0,0.0,2.393559522547694e-05,2.7584872240187247e-06,2.573482532496914e-07,1.012409018436834e-09,5.976820826543622e-09,0.0,2.4027703261182067e-18,1.498653722928106e-17,7.889702870943965e-17,0.0,1.274057660806981e-06,2.035313576879364e-07,2.436273566191211e-08,7.032606328066665e-11,3.1917022303469994e-10,0.0,2.826332864084664e-17,2.0344440832078221e-16,1.4051599795406322e-15,0.0,6.796897216775062e-08,1.3719533271108287e-08,2.0123666387023042e-09,4.6159608611317885e-12,1.708734783501132e-11,0.0,3.311560655291859e-16,2.6204783210048844e-15,2.6415698174241786e-14,0.0,3.633277109172624e-09,8.779689277763394e-10,1.5269720232338706e-10,2.8984524582602053e-13,8.734249693833241e-13,4.6404452955514445e-14,3.6432235954088005e-15,2.5459267772005916e-14,4.978726270100484e-13,9.831359340137774e-12,1.8532397875289782e-10,5.3870972922492514e-11,1.0911277665710205e-11,1.7673840179276228e-14,4.4901853873620233e-14,4.6164131760420125e-15,6.695951151264699e-16,5.049026513656345e-15,7.421823411694724e-14,9.739760827097478e-13,9.500133622702722e-12,3.215274254902682e-12,7.461004026142652e-13,1.0558637066075085e-15,2.3218547337630266e-15,3.5236157657906103e-16,8.323901742224112e-17,6.334332690472252e-16,7.466946105492844e-15,7.381045723751322e-14,4.89443363544257e-13,1.8827815024417936e-13,4.935572905815397e-14,6.571551250340066e-17,1.2701551845370348e-16,2.5724604353938448e-17,9.39038769206595e-18,6.945374437307338e-17,6.76797486349103e-16,5.322752390767036e-15,2.664504070071141e-14,1.1489657378493219e-14,3.380299246480399e-15
6,2.5982912181744793e-08,4.59192987897218e-07,8.564004689545982e-06,0.00016003815712064095,0.002998703623596625,0.05634189780421454,1.0615342907840692,0.05632674420852167,0.0029964290273293962,0.0001682491946672674,8.499431374188139e-09,1.3467916831941632e-07,2.2187389928354413e-06,3.345735700600799e-05,0.0004734328870006754,0.005963063872410199,0.05648288288457856,0.00567742015051329,0.0004371581160695888,3.2056476681417326e-05,8.271156084135255e-10,7.151954281478141e-09,0.0,0.0,0.0,0.0,0.0,0.000301617801095994,3.725666686766963e-05,3.6657462100729075e-06,6.381090419070308e-11,3.8084742025478343e-10,0.0,2.565605264154079e-17,1.8825829376934283e-16,9.956178063862692e-16,0.0,1.6061403442926166e-05,2.6916739777370948e-06,3.360344422982884e-07,4.4441509550497364e-12,2.0335799172039828e-11,0.0,2.735506537783912e-16,2.555633722589703e-15,1.77328622211835e-14,0.0,8.571903418658659e-07,1.7937480184777214e-07,2.7234215857478154e-08,2.921647832020963e-13,1.088613058923656e-12,0.0,2.6161726465581908e-15,3.291800328306283e-14,3.333731306735105e-13,0.0,4.583825067751511e-08,1.13975014950036e-08,2.0408571460244544e-09,1.8366866866435045e-14,5.5684164307543335e-14,3.828477141873228e-15,1.6515726347764393e-14,3.198151286185981e-13,6.2834386172924516e-12,1.2407880785214913e-10,2.33891951191757e-09,6.961202287603196e-10,1.4456842198287486e-10,1.1215229526262274e-15,2.8748832189019294e-15,5.411750402836305e-16,4.054748548258304e-15,6.343022544868258e-14,9.367762344078282e-13,1.2294398655970362e-11,1.199405242238175e-10,4.141514630234378e-11,9.822642889847504e-12,6.718601456133736e-17,1.5080207758543036e-16,6.539189663914765e-17,6.078441284354533e-16,7.958397398966601e-15,9.42571894450728e-14,9.318648090327896e-13,6.1814276004670275e-12,2.419530172891441e-12,6.46646621883974e-13,4.209246453751552e-18,8.580421606190578e-18,8.016686478439067e-18,7.834472484500395e-17,8.726889571411823e-16,8.544348061870855e-15,6.721273477333221e-14,3.36632803598652e-13,1.4738293313403415e-13,4.411275305655601e-14
7,1.3992938517081205e-09,2.4674475528418552e-08,4.591219472485993e-07,8.558394333708794e-06,0.00015995307055316938,0.002997499891737771,0.05632674420852168,1.0613909774014374,0.05632078058525943,0.003154518912565478,5.128138023276188e-10,8.29379393964495e-09,1.4024818848617517e-07,2.1972998400490834e-06,3.305005443873761e-05,0.00046580066394279635,0.0058196626687366205,0.0537810458335313,0.0055493348059262775,0.00046055984091918377,5.037445287168857e-11,4.4040097597764446e-10,0.0,0.0,0.0,0.0,0.0,0.0028609417945256494,0.0004243098588156171,4.678325897273534e-05,3.899826256819311e-12,2.3450151058603983e-11,0.0,2.4425837702557037e-16,1.793914418368331e-15,9.48746100333212e-15,0.0,0.00015253840364041362,2.913731688768116e-05,4.0122207471706435e-06,2.720949492743759e-13,1.2520678790117792e-12,0.0,2.6027363680919344e-15,2.4352654568640592e-14,1.6898038364160987e-13,0.0,8.150557754527915e-06,1.885854550421689e-06,3.1161833582572586e-07,1.7909900382050412e-14,6.704369334545272e-14,0.0,2.485507804808062e-14,3.1367605694474177e-13,3.176787173618614e-12,0.0,4.3633914519504487e-07,1.1759803039897078e-07,2.267308309645956e-08,1.1494646391291836e-15,3.85239416977205e-15,8.537117386857398e-15,1.55967689600698e-13,3.0475262326594977e-12,5.98762998581673e-11,1.1823718989432316e-09,2.2287973778968624e-08,7.093829266222202e-09,1.5722126080348632e-09,7.753359163201816e-17,3.1760802400168963e-16,2.3851465798205404e-15,3.8435363919523244e-14,6.045810484772122e-13,8.929784813836701e-12,1.172160010945987e-10,1.1441292191621077e-09,4.183685384697317e-10,1.0512718998063596e-10,6.065577877471543e-18,3.708613880918722e-17,4.1284226602848397e-16,5.773393732734014e-15,7.58745591285202e-14,8.988142754908405e-13,8.889118972797993e-12,5.902606470921243e-11,2.4285094029693396e-11,6.835463127487872e-12,6.262492307539176e-19,5.206908276098972e-18,6.121886920593935e-17,7.451093406082635e-16,8.322464869617053e-15,8.150716405359548e-14,6.414993766578563e-13,3.217862019647689e-12,1.4718142874358574e-12,4.615154119402073e-13
8,7.547431785545479e-11,1.3281490116292796e-09,2.4660451662910837e-08,4.586273561145922e-07,8.551150218504838e-06,0.0001598563744038804,0.0029964290273293962,0.05632078058525943,1.0615483454237458,0.059306949916556335,3.038870976890672e-11,4.989052401900168e-10,8.593076469084382e-09,1.3810909600950237e-07,2.1568523915968684e-06,3.2290936125826166e-05,0.00045151455959521964,0.005550056668853951,0.05379083254935636,0.005976753074268418,3.0059275637561458e-12,2.6490613317767406e-11,0.0,0.0,0.0,0.0,0.0,0.0004380056828680188,0.002741495820259038,0.00046052594518723267,2.3330062469263695e-13,1.410485283807589e-12,0.0,7.987932807947748e-17,5.866201758225049e-16,3.1022455110231e-15,0.0,3.055548537936552e-05,0.0001405522277691376,3.1744064029964686e-05,1.629902159636817e-14,7.530644988414296e-14,0.0,8.512077296080895e-16,7.963658501525011e-15,5.525379902259327e-14,0.0,1.9963115707884154e-06,7.2491857143838944e-06,2.0590436129587603e-06,1.074335754215311e-15,4.0382423947592376e-15,0.0,8.129409032949216e-15,1.0258154310247637e-13,1.038756277416724e-12,0.0,1.2524875123047037e-07,3.76131334793089e-07,1.28578901867873e-07,7.511533896349588e-17,3.4581986206723696e-16,2.7453786639635116e-15,5.102602079395069e-14,9.96781517098329e-13,1.9578533928792676e-11,3.8650128386836506e-10,7.283367797432769e-09,1.961332837954517e-08,7.824187737735768e-09,7.035824023873253e-18,5.766084365849409e-17,7.903539592888035e-16,1.2864111083771855e-14,2.0348884927746957e-13,3.0338569129734886e-12,4.0578062137374715e-11,4.187750547714579e-10,1.0276772626457268e-09,4.673367695614197e-10,9.044738316017904e-19,1.000722778996851e-17,1.3992859438221548e-16,1.976997644727982e-15,2.6274444393801244e-14,3.170533440249112e-13,3.251047194697934e-12,2.3877973213285902e-11,5.410504903650285e-11,2.753362128547851e-11,1.4195098659225443e-19,1.6506439270587907e-18,2.121305583755625e-17,2.6146882260429427e-16,2.9696969289160525e-15,2.988832843299945e-14,2.478551992731621e-13,1.4283132630591497e-12,3.0121235855647923e-12,1.6969858261690722e-12
9,4.295273441113241e-12,7.543633299700258e-11,1.3977839942106884e-09,2.5937210458831047e-08,4.824784769117557e-07,8.997952291996885e-06,0.00016824919466726748,0.0031545189125654787,0.05930694991655635,1.117700772189525,1.878588943035765e-12,3.1211059291247417e-11,5.452490981750229e-10,8.930737811823496e-09,1.4320155886764038e-07,2.229420403761589e-06,3.321783382060565e-05,0.00046066022752047815,0.005976757312480137,0.05930694949489466,1.8685718531888218e-13,1.6571657098869977e-12,0.0,0.0,0.0,0.0,0.0,4.871049154334253e-05,0.00046058661063123023,0.0031545109009935815,1.4531868135998213e-14,8.823201128664758e-14,0.0,1.7799640636309308e-17,1.3070613083583036e-16,6.911622572162473e-16,0.0,4.252501171799371e-06,3.175350760754414e-05,0.00016817101335215318,1.0162979784363433e-15,4.7106364233076325e-15,0.0,1.8968740061773714e-16,1.7744545880282195e-15,1.231021449905662e-14,0.0,3.335231133013825e-07,2.0600269956998702e-06,8.984845089785224e-06,6.715703098467633e-17,2.5378277776110926e-16,0.0,1.8118063830724783e-15,2.2858483730054207e-14,2.314284586368313e-13,0.0,2.4410985227024743e-08,1.2866410336664752e-07,4.810163580661801e-07,5.902832511397271e-18,4.4079323168767875e-17,6.105390281043917e-16,1.1376150147705137e-14,2.2215495499315215e-13,4.361972015870683e-12,8.607937551879727e-11,1.621502645440119e-09,7.827728339875537e-09,2.5801610105547306e-08,9.174635631039166e-19,1.1361824998459033e-17,1.800120631095405e-16,2.9457025497737394e-15,4.689245011460077e-14,7.064813849863892e-13,9.64351740115869e-12,1.0525996638329594e-10,4.673506798758598e-10,1.386505599343006e-09,1.671501891181056e-19,2.227650127768427e-18,3.26378593142196e-17,4.65438670059359e-16,6.266959762700253e-15,7.724583258381169e-14,8.245247360941117e-13,6.702484948781456e-12,2.7519691915358966e-11,7.464560209395644e-11,3.073990237166117e-20,3.861680535717956e-19,5.0788029877240266e-18,6.347322939896504e-17,7.354738855332522e-16,7.643570833032568e-15,6.724653935827382e-14,4.455159408800596e-13,1.695071388581404e-12,4.241148526807661e-12
